token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
5842544300000000000000000000000000000000,r4u8JBo9pG3DG2RsVDuHAmADYqpsM4scgj,940,31,891,891,678,85,80
STX,rSTAYKxF2K77ZLZ8GoAwTqPGaphAqMyXV,934,22,896,896,730,74,60
4D584D5700000000000000000000000000000000,rnCHN2NWQ8ZYzMcpNrygy1HKDWReZBVChT,925,10,915,915,375,23,20
4D4D4E5900000000000000000000000000000000,rGQBzppxfM687zvmEFHJpr7s2ujvQBxeZr,922,9,914,914,699,18,17
404,raHJ4Jz9PYk356wWaDMYw79B17iWtfsSMi,918,2,913,913,669,7,7
xrm,rNxo42sevpGvPNQrDqwGxN8FWFvMzad3QD,909,0,909,909,605,0,0
58434E5300000000000000000000000000000000,rJTwiThswADuUz94eiHLPDDvDgL5Mjc9oN,897,7,884,884,592,20,20
4354415050000000000000000000000000000000,rE6xrMvAbwQBrvppjRXC5d6riNjSquTJvU,887,2,887,887,570,2,2
7363726170000000000000000000000000000000,rGHtYnnigyuaHehWGfAdoEhkoirkGNdZzo,875,10,865,865,470,20,20
BOX,rhLJ2ma5pScsxVhL5EQr71w3FgASVLwP84,867,1,867,867,669,1,1
ETH,rN1F5Nn1aJYTu2FWJk33QfQX3a82VXCcdE,863,3,863,863,694,3,3
545249534B000000000000000000000000000000,rhu8q21DEWekDcvqakABXPJbm3MAnQa8oy,862,0,862,862,529,0,0
5A45525053000000000000000000000000000000,rJztCAZEQvKcMSQTpKUZRJJjA11aUTk9Aw,858,3,858,858,420,3,3
4D584D5700000000000000000000000000000000,rKzEPiDj1jciD1EW1kZ76CZELqrhSUPRjS,833,10,830,830,527,13,13
54494D4500000000000000000000000000000000,rExSpmk2PAqxKRTT3mhjCrCpqVasBra5v8,816,5,813,813,420,8,8
5345414C00000000000000000000000000000000,r4pXXQzJ8soYSX4QKeeW4BzRQS1PCtVYLJ,809,2,767,767,686,75,44
495A5A5900000000000000000000000000000000,rNLSGhGDQtwReyxbW3Kd2DAeAyJMeKryiz,801,3,797,797,641,7,7
